session,start,end,duration_seconds,bankroll_start,bankroll_end,profit
1,2026-08-08 18:35:38,2026-08-08 18:36:46,68,938749190,926749190,-12000000
2,2026-08-08 18:44:31,2026-08-08 18:45:52,81,906749190,766749190,-140000000
3,2026-08-08 19:25:49,2026-08-08 19:28:57,188,756749190,1469308607,712559417
4,2026-08-08 20:06:37,2026-08-08 20:08:10,93,1469308607,2108000607,638692000
5,2026-08-09 11:38:15,2026-08-09 11:54:36,981,103000607,138140607,35140000
9,2026-08-09 18:42:34,2026-08-09 19:04:44,1330,913736137,24990000,-888746137
10,2026-08-09 19:04:48,2026-08-09 19:13:58,550,24990000,3098905432,3073915432
11,2026-08-09 19:44:00,2026-08-09 20:07:24,1404,3164905414,92899999,-3072005415
